"Found?","Search term","Census","Matched name(s)","Name status","Name type","Tags","canonicalName","scientificNameID","scientificNameAuthorship","taxonRank","taxonRankSortOrder","taxonRankAbbreviation","kingdom","class","subclass","family","genericName","specificEpithet","infraspecificEpithet","nameElement","firstHybridParentName","firstHybridParentNameID","secondHybridParentName","secondHybridParentNameID"
"true","Nassella trichotoma","APC","Nassella trichotoma (Nees) Hack. ex Arechav.","legitimate","scientific","[]","Nassella trichotoma","https://test-id.biodiversity.org.au/name/apni/63783","(Nees) Hack. ex Arechav.","Species","190","sp.","Plantae","","","Poaceae","Nassella","trichotoma","","trichotoma","","","",""
"true","Opuntia","APC","Opuntia Mill.","legitimate","scientific","[]","Opuntia","https://test-id.biodiversity.org.au/name/apni/55057","Mill.","Genus","120","gen.","Plantae","","","Cactaceae","Opuntia","","","Opuntia","","","",""
"true","Parkinsonia aculeata","APC","Parkinsonia aculeata L.","legitimate","scientific","[]","Parkinsonia aculeata","https://test-id.biodiversity.org.au/name/apni/115330","L.","Species","190","sp.","Plantae","","","Fabaceae","Parkinsonia","aculeata","","aculeata","","","",""
"true","Parthenium hysterophorus","APC","Parthenium hysterophorus L.","legitimate","scientific","[]","Parthenium hysterophorus","https://test-id.biodiversity.org.au/name/apni/54839","L.","Species","190","sp.","Plantae","","","Asteraceae","Parthenium","hysterophorus","","hysterophorus","","","",""
"true","Pontederia crassipes","APC","Pontederia crassipes Mart.","legitimate","scientific","[]","Pontederia crassipes","https://test-id.biodiversity.org.au/name/apni/98714","Mart.","Species","190","sp.","Plantae","","","Pontederiaceae","Pontederia","crassipes","","crassipes","","","",""
"true","Prosopis","APC","Prosopis L.","legitimate","scientific","[]","Prosopis","https://test-id.biodiversity.org.au/name/apni/108846","L.","Genus","120","gen.","Plantae","","","Fabaceae","Prosopis","","","Prosopis","","","",""
"true","Rubus fruticosus","","Rubus fruticosus L.","legitimate","scientific","[]","Rubus fruticosus","https://test-id.biodiversity.org.au/name/apni/85694","L.","Species","190","sp.","Plantae","","","Rosaceae","Rubus","fruticosus","","fruticosus","","","",""
"true","Sagittaria platyphylla","APC","Sagittaria platyphylla (Engelm.) J.G.Sm.","legitimate","scientific","[]","Sagittaria platyphylla","https://test-id.biodiversity.org.au/name/apni/173623","(Engelm.) J.G.Sm.","Species","190","sp.","Plantae","","","Alismataceae","Sagittaria","platyphylla","","platyphylla","","","",""
"true","Salix","APC","Salix L.","legitimate","scientific","[]","Salix","https://test-id.biodiversity.org.au/name/apni/59669","L.","Genus","120","gen.","Plantae","","","Salicaceae","Salix","","","Salix","","","",""
"false","Salvinia molesta","","not found","","",""
"true","Senecio madagascariensis","APC","Senecio madagascariensis Poir.","legitimate","scientific","[]","Senecio madagascariensis","https://test-id.biodiversity.org.au/name/apni/116244","Poir.","Species","190","sp.","Plantae","","","Asteraceae","Senecio","madagascariensis","","madagascariensis","","","",""
"true","Solanum elaeagnifolium","APC","Solanum elaeagnifolium Cav.","legitimate","scientific","[]","Solanum elaeagnifolium","https://test-id.biodiversity.org.au/name/apni/101259","Cav.","Species","190","sp.","Plantae","","","Solanaceae","Solanum","elaeagnifolium","","elaeagnifolium","","","",""
"true","Tamarix aphylla","APC","Tamarix aphylla (L.) H.Karst.","legitimate","scientific","[]","Tamarix aphylla","https://test-id.biodiversity.org.au/name/apni/80023","(L.) H.Karst.","Species","190","sp.","Plantae","","","Tamaricaceae","Tamarix","aphylla","","aphylla","","","",""
"true","Ulex europaeus","APC","Ulex europaeus L.","legitimate","scientific","[]","Ulex europaeus","https://test-id.biodiversity.org.au/name/apni/86777","L.","Species","190","sp.","Plantae","","","Fabaceae","Ulex","europaeus","","europaeus","","","",""
"true","Vachellia nilotica","APC","Vachellia nilotica (L.) P.J.H.Hurter & Mabb.","legitimate","scientific","[]","Vachellia nilotica","https://test-id.biodiversity.org.au/name/apni/214158","(L.) P.J.H.Hurter & Mabb.","Species","190","sp.","Plantae","","","Fabaceae","Vachellia","nilotica","","nilotica","","","",""
